Chocolade met noten;577,0;2417,0;2,0;9,5;44,0;44,0;40,0;20,0;0,0;0,0;7,5;3,5
Chocolade, melk (32 % cacao);541,0;2266,0;2,1;9,2;55,0;55,0;31,5;19,0;0,0;0,0;0,0;1,2
Chocolade, puur (54 % cacao);513,0;2152,0;10,6;5,3;49,0;49,0;33,0;20,2;0,0;0,0;0,0;1,1
Chocolade, puur extra (70-85%);584,0;2443,0;13,0;7,8;35,2;24,0;43,2;24,6;13,0;1,4;3,0;11,5
Chocolade, wit;560,0;2347,0;0,1;7,6;58,0;57,0;33,3;20,5;12,0;0,8;24,0;0,0
Chocoladehagelslag (melk);458,0;1920,0;3,0;6,5;70,0;68,0;16,0;9,5;4,7;0,4;0,0;3,5
Chocoladehagelslag (puur);457,0;1914,0;1,5;4,5;70,0;68,0;16,0;9,5;4,8;1,0;0,0;7,0
Chocolademelk, halfvolle;79,0;328,0;82,0;3,2;12,9;12,9;1,6;0,8;0,5;0,1;14,0;0,0
Chocolademelk, magere;68,0;285,0;82,9;3,5;12,0;12,0;0,6;0,0;0,3;0,0;2,0;0,0
Chocolademelk, volle;100,0;421,0;78,7;3,6;12,9;12,9;3,8;1,8;0,8;0,1;6,0;0,0
Chocolademousse;206,0;862,0;62,5;4,5;20,0;14,0;12,0;6,8;3,8;0,6;100,0;0,0
Chocolademousse, light;119,0;498,0;75,5;4,0;14,5;0,4;5,0;2,7;1,5;0,3;2,0;0,0
Chocoladepasta, hazelnoot;567,0;2371,0;0,0;4,5;55,0;52,0;36,0;9,5;11,5;10,0;0,0;4,0
Chocoladepasta, melk;563,0;2361,0;0,2;4,0;57,8;52,6;35,0;11,5;20,0;2,5;0,0;2,0
Chocoladepasta, puur;570,0;2385,0;0,4;4,5;52,6;50,0;37,0;12,0;20,5;2,5;0,0;4,5
Chocoladevla;105,0;441,0;76,3;3,2;16,0;12,0;3,0;2,0;1,0;0,0;10,0;0,5
Chocoladevlokken, melk;447,0;1870,0;2,3;6,1;70,0;65,0;15,8;9,0;6,0;0,0;0,0;4,8
Chorizoworst;360,0;1511,0;45,4;23,0;0,6;0,0;30,0;14,5;3,5;6,0;0,0;0,0
Cider;10,0;42,0;96,5;0,0;2,5;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Citroen;36,0;151,0;89,4;0,5;6,5;3,0;0,4;0,0;0,0;0,0;0,0;2,2
Citroensap, vers;32,0;136,0;91,0;0,0;8,0;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Cognac, 40 % v/v;220,0;924,0;66,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Cola;44,0;187,0;88,0;0,0;11,0;11,0;0,0;0,0;0,0;0,0;0,0;0,0
Cola light;1,0;5,0;98,7;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cordon bleu, vegetarisch;249,0;1045,0;52,5;17,5;9,0;1,5;15,0;1,5;3,0;10,5;0,0;5,0
Corned beef;225,0;943,0;64,7;12,8;3,5;0,3;18,0;8,0;7,0;1,0;93,0;0,0
Cornflakes;376,0;1577,0;5,3;7,9;81,5;7,5;0,8;0,0;0,0;0,7;0,0;3,5
Cottage cheese;100,0;422,0;79,1;12,8;2,9;2,9;4,2;2,9;1,1;0,1;20,0;0,0
Courgette, vers;27,0;115,0;91,6;1,8;4,5;4,5;0,0;0,0;0,0;0,0;0,0;1,1
Couscous, bereid;183,0;766,0;60,0;7,5;23,5;1,2;6,5;3,1;2,5;0,6;10,0;1,5
Couscous, onbereid;368,0;1543,0;7,0;12,5;74,0;1,0;1,0;0,0;0,5;0,0;0,0;4,5
Cracker, gemiddeld;276,0;1158,0;39,0;4,5;43,5;9,5;8,5;1,5;3,5;3,5;10,0;3,5
Cracker, light;358,0;1500,0;5,5;12,0;63,5;2,5;2,5;0,5;0,4;1,0;0,0;15,5
Cracker, volkoren;445,0;1864,0;1,0;11,5;65,0;0,5;13,5;6,0;4,5;2,0;1,0;8,0
Cranberries, gedroogd, gezoet;353,0;1481,0;9,1;1,2;83,5;75,0;0,0;0,0;0,0;0,0;0,0;5,2
Cranberries, vers;24,0;104,0;91,0;0,5;4,0;3,5;0,0;0,0;0,0;0,0;0,0;3,5
Cranberrysap, ongezoet (fles);62,0;263,0;84,5;0,0;15,5;15,0;0,0;0,0;0,0;0,0;0,0;0,0
Cream cheese;354,0;1484,0;53,3;7,5;2,8;0,0;35,4;22,1;7,0;1,5;110,0;0,0
Crème fraiche;336,0;1408,0;58,5;2,5;2,0;0,5;36,0;21,0;8,0;1,0;100,0;0,0
Crème fraiche, halfvol;162,0;680,0;76,6;3,0;4,4;4,4;15,0;8,5;3,5;0,5;50,0;0,0
Croissant;478,0;2003,0;10,9;9,2;50,3;2,7;26,3;18,0;6,3;0,8;73,0;2,3
Currysaus;131,0;551,0;66,9;1,8;30,0;30,0;0,3;0,1;0,1;0,0;1,0;0,0
Custard met melk;117,0;491,0;75,5;3,7;15,2;10,5;4,6;0,0;0,0;0,0;16,0;0,0
Custardpoeder;345,0;1448,0;13,9;0,0;85,0;5,0;0,1;0,0;0,0;0,0;0,0;0,0
